본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,석식계,연,월,일,요일_찐,개꿀가능성,휴일전날,휴일다음날,대면출근자,석식_밥,석식_메인요리,석식_국
2601,50,150,238,0.0,331.0,2016,2,1,0,0,0,0,2551.0,73,365,235
2601,50,173,319,0.0,560.0,2016,2,2,1,0,0,0,2551.0,117,360,191
2601,56,180,111,0.0,573.0,2016,2,3,2,0,0,0,2545.0,73,463,257
2601,104,220,355,0.0,525.0,2016,2,4,3,0,0,0,2497.0,41,187,224
2601,278,181,34,0.0,330.0,2016,2,5,4,0,0,0,2323.0,73,98,253
2601,383,143,417,0.0,550.0,2016,2,11,3,0,0,1,2218.0,104,65,86
2601,389,156,93,0.0,598.0,2016,2,12,4,0,0,0,2212.0,73,209,31
2601,87,204,482,0.0,672.0,2016,2,15,0,0,0,0,2514.0,73,153,292
2601,72,236,526,0.0,523.0,2016,2,16,1,0,0,0,2529.0,73,292,70
2601,78,250,23,0.0,588.0,2016,2,17,2,0,0,0,2523.0,49,259,86
2601,77,254,367,0.0,489.0,2016,2,18,3,0,0,0,2524.0,73,189,174
2601,145,252,69,0.0,597.0,2016,2,19,4,0,0,0,2456.0,73,72,158
2601,90,207,434,0.0,645.0,2016,2,22,0,0,0,0,2511.0,73,163,217
2601,57,237,488,0.0,610.0,2016,2,23,1,0,0,0,2544.0,73,446,269
2601,54,232,14,0.0,514.0,2016,2,24,2,0,0,0,2547.0,73,178,203
2601,56,261,335,0.0,531.0,2016,2,25,3,0,0,0,2545.0,13,62,237
2601,144,278,42,0.0,585.0,2016,2,26,4,0,0,0,2457.0,73,242,55
2601,595,168,110,0.0,344.0,2016,2,29,0,1,1,0,2006.0,73,84,132
2624,127,182,261,0.0,631.0,2016,3,2,2,0,0,1,2497.0,73,221,70
2624,61,224,351,0.0,473.0,2016,3,3,3,0,0,0,2563.0,39,164,224
2624,83,247,79,0.0,673.0,2016,3,4,4,0,0,0,2541.0,73,214,208
2624,50,195,456,0.0,625.0,2016,3,7,0,0,0,0,2574.0,73,132,60
2624,47,212,426,0.0,609.0,2016,3,8,1,0,0,0,2577.0,113,296,4
2624,43,225,0,0.0,523.0,2016,3,9,2,0,0,0,2581.0,73,266,235
2624,55,245,290,0.0,525.0,2016,3,10,3,0,0,0,2569.0,46,36,245
2624,108,275,76,0.0,591.0,2016,3,11,4,0,0,0,2516.0,73,414,201
2624,61,183,376,0.0,586.0,2016,3,14,0,0,0,0,2563.0,73,23,54
2624,38,231,399,0.0,545.0,2016,3,15,1,0,0,0,2586.0,98,390,13
2624,50,213,0,0.0,531.0,2016,3,16,2,0,0,0,2574.0,73,459,148
2624,52,242,327,0.0,548.0,2016,3,17,3,0,0,0,2572.0,119,211,190
2624,118,277,57,0.0,521.0,2016,3,18,4,0,0,0,2506.0,73,364,56
2624,65,205,329,0.0,605.0,2016,3,21,0,0,0,0,2559.0,73,322,170
2624,41,208,378,0.0,585.0,2016,3,22,1,0,0,0,2583.0,11,391,4
2624,42,236,0,0.0,544.0,2016,3,23,2,0,0,0,2582.0,73,145,187
2624,53,251,293,0.0,507.0,2016,3,24,3,0,0,0,2571.0,104,65,122
2624,98,275,59,0.0,523.0,2016,3,25,4,0,0,0,2526.0,73,91,49
2624,77,197,299,0.0,637.0,2016,3,28,0,0,0,0,2547.0,73,360,269
2624,52,245,259,0.0,465.0,2016,3,29,1,0,0,0,2572.0,129,140,231
2624,48,230,0,0.0,463.0,2016,3,30,2,0,0,0,2576.0,73,153,191
2624,36,248,158,0.0,526.0,2016,3,31,3,0,0,0,2588.0,93,165,237
2643,103,254,47,0.0,591.0,2016,4,1,4,0,0,0,2540.0,73,313,168
2643,62,221,367,0.0,614.0,2016,4,4,0,0,0,0,2581.0,73,50,70
2643,31,242,370,0.0,555.0,2016,4,5,1,0,0,0,2612.0,17,34,4
2643,37,249,0,0.0,492.0,2016,4,6,2,0,0,0,2606.0,73,387,96
2643,47,258,339,0.0,524.0,2016,4,7,3,0,0,0,2596.0,13,328,224
2643,87,283,64,0.0,542.0,2016,4,8,4,0,0,0,2556.0,73,209,208
2643,82,203,392,0.0,536.0,2016,4,11,0,0,0,0,2561.0,73,16,167
2643,76,225,239,0.0,500.0,2016,4,12,1,0,1,0,2567.0,112,164,232
2643,106,252,326,0.0,562.0,2016,4,14,3,0,0,1,2537.0,54,259,276
2643,131,281,82,0.0,582.0,2016,4,15,4,0,0,0,2512.0,73,297,75
2643,81,225,330,0.0,525.0,2016,4,18,0,0,0,0,2562.0,73,360,39
2643,44,239,387,0.0,449.0,2016,4,19,1,0,0,0,2599.0,29,253,231
2643,47,262,0,0.0,504.0,2016,4,20,2,0,0,0,2596.0,73,105,191
2643,66,264,312,0.0,531.0,2016,4,21,3,0,0,0,2577.0,81,449,275
2643,150,275,86,0.0,557.0,2016,4,22,4,0,0,0,2493.0,73,429,174
2643,96,201,281,0.0,528.0,2016,4,25,0,0,0,0,2547.0,73,313,187
2643,51,227,304,0.0,568.0,2016,4,26,1,0,0,0,2592.0,95,290,86
2643,71,234,0,0.0,490.0,2016,4,27,2,0,0,0,2572.0,73,414,257
2643,56,269,196,0.0,508.0,2016,4,28,3,0,0,0,2587.0,103,20,145
2643,139,282,28,0.0,507.0,2016,4,29,4,0,0,0,2504.0,73,55,77
2635,80,214,302,0.0,551.0,2016,5,2,0,0,0,1,2555.0,73,56,140
2635,65,251,292,0.0,515.0,2016,5,3,1,0,0,0,2570.0,73,430,138
2635,150,244,0,0.0,636.0,2016,5,4,2,0,1,0,2485.0,113,303,122
2635,101,233,344,0.0,591.0,2016,5,9,0,0,0,0,2534.0,73,18,55
2635,53,252,350,0.0,519.0,2016,5,10,1,0,0,0,2582.0,18,391,3
2635,60,266,0,0.0,423.0,2016,5,11,2,0,0,0,2575.0,73,452,269
2635,71,274,315,0.0,532.0,2016,5,12,3,0,0,0,2564.0,34,187,237
2635,185,268,80,0.0,517.0,2016,5,13,4,0,1,0,2450.0,73,413,167
2635,99,216,368,0.0,594.0,2016,5,16,0,0,0,0,2536.0,73,378,56
2635,41,254,377,0.0,633.0,2016,5,17,1,0,0,0,2594.0,84,164,224
2635,71,257,0,0.0,456.0,2016,5,18,2,0,0,0,2564.0,73,463,148
2635,65,266,264,0.0,529.0,2016,5,19,3,0,0,0,2570.0,60,237,277
2635,169,287,56,0.0,487.0,2016,5,20,4,0,0,0,2466.0,73,85,235
2635,88,203,362,0.0,613.0,2016,5,23,0,0,0,0,2547.0,73,115,170
2635,74,234,310,0.0,465.0,2016,5,24,1,0,0,0,2561.0,104,43,86
2635,72,258,0,0.0,454.0,2016,5,25,2,0,0,0,2563.0,73,153,70
2635,64,285,227,0.0,520.0,2016,5,26,3,0,0,0,2571.0,99,395,13
2635,163,291,61,0.0,493.0,2016,5,27,4,0,0,0,2472.0,73,142,39
2635,73,215,291,0.0,631.0,2016,5,30,0,0,0,0,2562.0,73,210,283
2635,50,250,185,0.0,535.0,2016,5,31,1,0,0,0,2585.0,103,296,183
2637,75,245,0,0.0,490.0,2016,6,1,2,0,0,0,2562.0,73,56,191
2637,81,258,301,0.0,483.0,2016,6,2,3,0,0,0,2556.0,31,55,231
2637,191,268,64,0.0,548.0,2016,6,3,4,0,0,0,2446.0,73,299,180
2637,115,192,389,0.0,629.0,2016,6,7,1,0,0,1,2522.0,117,215,4
2637,58,240,0,0.0,500.0,2016,6,8,2,0,0,0,2579.0,73,365,235
2637,69,252,359,0.0,506.0,2016,6,9,3,0,0,0,2568.0,111,344,204
2637,151,270,61,0.0,509.0,2016,6,10,4,0,0,0,2486.0,73,221,191
2637,98,209,415,0.0,590.0,2016,6,13,0,0,0,0,2539.0,73,245,77
2637,56,241,432,0.0,593.0,2016,6,14,1,0,0,0,2581.0,81,468,122
2637,60,260,0,0.0,535.0,2016,6,15,2,0,0,0,2577.0,73,459,55
2637,73,263,336,0.0,524.0,2016,6,16,3,0,0,0,2564.0,84,408,45
2637,165,291,60,0.0,484.0,2016,6,17,4,0,0,0,2472.0,73,360,163
2637,101,257,344,0.0,585.0,2016,6,20,0,0,0,0,2536.0,73,292,289
2637,49,248,349,0.0,645.0,2016,6,21,1,0,0,0,2588.0,14,420,144
2637,47,258,0,0.0,467.0,2016,6,22,2,0,0,0,2590.0,73,391,56
2637,53,271,346,0.0,588.0,2016,6,23,3,0,0,0,2584.0,89,331,273
2637,169,284,52,0.0,475.0,2016,6,24,4,0,0,0,2468.0,73,452,174
2637,96,227,300,0.0,609.0,2016,6,27,0,0,0,0,2541.0,73,190,30
2637,63,253,226,0.0,535.0,2016,6,28,1,0,0,0,2574.0,51,428,12
2637,67,248,0,0.0,487.0,2016,6,29,2,0,0,0,2570.0,73,322,257
2637,76,247,151,0.0,446.0,2016,6,30,3,0,0,0,2561.0,93,33,24
2643,145,215,41,0.0,513.0,2016,7,1,4,0,0,0,2498.0,73,75,252
2643,88,190,385,0.0,582.0,2016,7,4,0,0,0,0,2555.0,73,105,203
2643,55,226,376,0.0,551.0,2016,7,5,1,0,0,0,2588.0,11,429,86
2643,56,224,0,0.0,484.0,2016,7,6,2,0,0,0,2587.0,73,345,178
2643,64,238,340,0.0,494.0,2016,7,7,3,0,0,0,2579.0,73,92,278
2643,155,260,60,0.0,534.0,2016,7,8,4,0,0,0,2488.0,73,55,187
2643,121,210,366,0.0,630.0,2016,7,11,0,0,0,0,2522.0,73,18,136
2643,72,223,382,0.0,519.0,2016,7,12,1,0,0,0,2571.0,46,308,183
2643,79,241,0,0.0,483.0,2016,7,13,2,0,0,0,2564.0,73,463,169
2643,84,252,308,0.0,550.0,2016,7,14,3,0,0,0,2559.0,39,60,111
2643,189,261,55,0.0,503.0,2016,7,15,4,0,0,0,2454.0,73,288,208
2643,126,208,343,0.0,596.0,2016,7,18,0,0,0,0,2517.0,73,51,50
2643,111,233,263,0.0,424.0,2016,7,19,1,0,0,0,2532.0,116,90,86
2643,124,238,0,0.0,443.0,2016,7,20,2,0,0,0,2519.0,73,407,67
2643,115,255,263,0.0,446.0,2016,7,21,3,0,0,0,2528.0,49,360,13
2643,251,272,47,0.0,501.0,2016,7,22,4,0,0,0,2392.0,73,75,64
2643,277,180,247,0.0,584.0,2016,7,25,0,0,0,0,2366.0,73,118,264
2643,260,185,269,0.0,582.0,2016,7,26,1,0,0,0,2383.0,111,344,237
2643,299,192,0,0.0,423.0,2016,7,27,2,0,0,0,2344.0,73,105,191
2643,340,204,197,0.0,434.0,2016,7,28,3,0,0,0,2303.0,114,310,86
2643,486,207,36,0.0,472.0,2016,7,29,4,0,0,0,2157.0,73,158,186
2644,512,109,238,0.0,510.0,2016,8,1,0,0,0,0,2132.0,73,281,266
2644,460,167,268,0.0,515.0,2016,8,2,1,0,0,0,2184.0,73,190,249
2644,485,183,0,0.0,363.0,2016,8,3,2,0,0,0,2159.0,93,279,45
2644,467,200,262,0.0,456.0,2016,8,4,3,0,0,0,2177.0,81,164,4
2644,538,212,46,0.0,448.0,2016,8,5,4,0,0,0,2106.0,73,384,167
2644,421,180,255,0.0,480.0,2016,8,8,0,0,0,0,2223.0,73,387,140
2644,392,182,286,0.0,470.0,2016,8,9,1,0,0,0,2252.0,88,187,265
2644,411,188,0,0.0,451.0,2016,8,10,2,0,0,0,2233.0,73,459,55
2644,413,202,295,0.0,530.0,2016,8,11,3,0,0,0,2231.0,46,406,175
2644,587,215,60,0.0,410.0,2016,8,12,4,0,0,0,2057.0,73,246,30
2644,352,177,351,0.0,561.0,2016,8,16,1,0,0,1,2292.0,15,60,122
2644,311,191,0,0.0,465.0,2016,8,17,2,0,0,0,2333.0,73,132,269
2644,274,215,364,0.0,574.0,2016,8,18,3,0,0,0,2370.0,84,355,29
2644,345,237,59,0.0,532.0,2016,8,19,4,0,0,0,2299.0,73,466,70
2644,115,159,458,0.0,729.0,2016,8,22,0,0,0,0,2529.0,73,139,108
2644,86,211,386,0.0,563.0,2016,8,23,1,0,0,0,2558.0,17,461,231
2644,113,209,0,0.0,588.0,2016,8,24,2,0,0,0,2531.0,73,153,6
2644,123,241,308,0.0,508.0,2016,8,25,3,0,0,0,2521.0,115,394,236
2644,194,269,70,0.0,489.0,2016,8,26,4,0,0,0,2450.0,73,378,268
2644,132,202,352,0.0,568.0,2016,8,29,0,0,0,0,2512.0,73,98,253
2644,96,242,268,0.0,514.0,2016,8,30,1,0,0,0,2548.0,12,296,86
2644,98,236,0,0.0,498.0,2016,8,31,2,0,0,0,2546.0,73,76,257
2769,99,250,336,0.0,468.0,2016,9,1,3,0,0,0,2670.0,103,43,83
2769,177,279,76,0.0,460.0,2016,9,2,4,0,0,0,2592.0,73,141,187
2769,100,225,447,0.0,554.0,2016,9,5,0,0,0,0,2669.0,73,372,191
2769,59,253,477,0.0,560.0,2016,9,6,1,0,0,0,2710.0,51,187,231
2769,65,241,0,0.0,504.0,2016,9,7,2,0,0,0,2704.0,73,109,195
2769,69,255,438,0.0,548.0,2016,9,8,3,0,0,0,2700.0,13,257,237
2769,137,288,86,0.0,485.0,2016,9,9,4,0,0,0,2632.0,73,365,168
2769,328,176,306,0.0,504.0,2016,9,12,0,0,0,0,2441.0,46,211,183
2769,511,108,52,0.0,238.0,2016,9,13,1,0,1,0,2258.0,73,378,254
2769,167,180,550,0.0,662.0,2016,9,19,0,0,0,0,2602.0,73,431,170
2769,69,227,588,0.0,627.0,2016,9,20,1,0,0,0,2700.0,116,368,86
2769,58,246,0,0.0,603.0,2016,9,21,2,0,0,0,2711.0,73,283,15
2769,137,253,403,0.0,533.0,2016,9,22,3,0,0,0,2632.0,84,193,34
2769,165,278,99,0.0,562.0,2016,9,23,4,0,0,0,2604.0,73,299,266
2769,70,224,494,0.0,710.0,2016,9,26,0,0,0,0,2699.0,73,29,109
2769,56,233,380,0.0,550.0,2016,9,27,1,0,0,0,2713.0,68,429,122
2769,50,225,0,0.0,591.0,2016,9,28,2,0,0,0,2719.0,73,208,242
