id,target
1,301966.865
2,129725.805
3,176713.105
4,266727.735
5,136552.995
6,140228.305
7,182641.085
8,116997.305
9,137877.3
10,282998.81
11,233321.445
12,125383.375
13,176666.46
14,130711.25
15,98016.96
16,127032.79
17,121854.25
18,177439.0
19,195490.77
20,127521.685
21,156492.5
22,117441.04
23,164057.13
24,242993.625
25,172437.4
26,299051.955
27,149236.875
28,235624.84
29,145419.51
30,71529.0
31,119442.43
32,133983.53
33,181129.925
34,155891.495
35,296772.65
36,130451.095
37,165107.9
38,208298.175
39,178065.52
40,300078.315
41,256858.31
42,112186.21
43,98499.42
44,143058.11
45,210756.985
46,161201.19
47,198801.95
48,97145.21
49,174199.84
50,129269.0
51,149420.75
52,235291.81
53,166761.53
54,201956.755
55,210338.59
56,120673.5
57,290666.275
58,125804.415
59,114582.8
60,133471.835
61,140324.04
62,249388.785
63,95976.0
64,226392.365
65,228566.14
66,125619.04
67,177760.32
68,206727.565
69,283924.675
70,129885.185
71,111763.75
72,238140.13
73,140135.0
74,127760.29
75,206370.75
76,110647.16
77,71990.0
78,149011.49
79,161775.75
80,139087.665
81,106944.5
82,203224.805
83,175307.7
84,205092.56
85,121206.625
86,88107.0
87,95597.17
88,144213.84
89,133359.06
90,150176.09
91,115407.65
92,162322.5
93,143794.25
94,119442.37
95,166518.475
96,300577.535
97,166717.145
98,152231.125
99,199098.12
100,211774.58
101,228896.625
102,187190.9
103,137351.935
104,186031.8
105,300056.0
106,225834.69
107,104188.5
108,152910.68
109,175596.175
110,300004.655
111,124740.3
112,210447.295
113,147408.75
114,124290.15
115,123588.33
116,124228.08
117,196935.395
118,299410.0
119,174273.325
120,195884.695
121,300838.425
122,167362.52
123,97134.75
124,138891.24
125,290007.365
126,261917.37
127,261186.315
128,209617.0
129,293936.49
130,142496.49
131,232465.495
132,153276.75
133,268631.535
134,300693.525
135,206213.24
136,197274.235
137,223924.81
138,148766.19
139,295116.165
140,134572.25
141,176142.43
142,158820.09
143,118685.35
144,188785.38
145,118463.2
146,215724.3
147,198146.095
148,74378.0
149,302083.22
150,201767.93
151,119514.5
152,120553.425
153,126057.79
154,179407.65
155,238687.795
156,162314.42
157,137549.5
158,301014.97
159,175980.68
160,169893.35
161,193138.2
162,183881.14
163,126153.0
164,252607.61
165,146133.66
166,138412.385
167,201764.02
168,225021.01
169,293735.76
170,137883.42
171,301553.0
172,271731.27
173,269214.425
174,109425.035
175,152238.5
176,139355.435
177,69713.5
178,271645.715
179,122100.4
180,72205.0
181,108310.59
182,108514.925
183,180108.615
184,176822.165
185,176948.4
186,160539.265
187,232858.99
188,239950.945
189,127672.935
190,191983.5
191,301461.37
192,127776.875
193,215648.04
194,130881.04
195,150684.35
196,298691.305
197,293528.275
198,139476.06
199,122755.0
200,195154.245
201,110358.55
202,222485.35
203,173334.365
204,89638.46
205,188236.935
206,174781.36
207,169526.975
208,219087.52
209,228052.855
210,248531.405
211,299444.63
212,156664.58
213,166567.895
214,302311.955
215,141747.79
216,96042.84
217,184600.425
218,172049.6
219,143793.825
220,295188.65
221,232334.325
222,168173.13
223,301744.02
224,175896.7
225,167620.315
226,138616.675
227,119866.675
228,171021.135
229,228976.15
230,124686.38
231,218120.115
232,138468.725
233,172352.585
234,300431.37
235,270505.745
236,92634.21
237,242049.665
238,122699.75
239,151433.27
240,200456.245
241,95709.75
242,248100.09
243,97134.75
244,145747.585
245,126405.625
246,278924.53
247,139154.475
248,128641.685
249,206626.97
250,136704.42
251,283082.84
252,176862.285
253,120869.125
254,135233.94
255,300438.235
256,159167.75
257,120455.75
258,124651.875
259,304321.085
260,207440.18
261,146572.25
262,235762.66
263,162766.27
264,257379.42
265,146136.47
266,129214.5
267,236557.225
268,150221.5
269,134275.31
270,225421.9
271,298154.195
272,149015.425
273,195672.36
274,101829.75
275,148447.0
276,173755.915
277,141979.035
278,98112.92
279,178190.22
280,192729.685
281,301461.37
282,304816.32
283,141792.68
284,165257.02
285,139851.5
286,159850.25
287,209253.34
288,132180.53
289,137712.75
290,166588.04
291,124996.66
292,272320.195
293,261537.445
294,181662.29
295,167064.55
296,74012.5
297,139135.045
298,156056.77
299,109670.15
300,121426.115
301,70537.5
302,121790.745
303,191519.05
304,276347.905
305,148548.125
306,169984.48
307,166899.555
308,123639.485
309,153860.0
310,294884.505
311,115182.805
312,180985.52
313,136228.5
314,132245.225
315,158108.75
316,138935.865
317,128244.75
318,126720.025
319,179731.0
320,193215.45
321,145567.0
322,192577.875
323,211810.25
324,154726.75
325,163616.0
326,204124.325
327,96130.0
328,95270.0
329,235932.385
330,175209.9
331,234391.755
332,208029.05
333,139987.59
