id,target
1,348640.16
2,135103.22
3,180656.86
4,241154.22
5,132841.62
6,156527.1
7,185572.64
8,120900.12
9,137069.23
10,286717.25
11,237813.4
12,118688.37
13,162102.67
14,118206.414
15,108371.77
16,134621.28
17,120900.12
18,177807.03
19,205927.44
20,131463.4
21,153837.08
22,126218.6
23,157633.8
24,264080.44
25,192368.05
26,326228.0
27,155375.92
28,237871.62
29,142165.23
30,72068.76
31,117080.43
32,134621.28
33,193956.05
34,145899.23
35,559513.5
36,134621.28
37,160382.66
38,223394.55
39,172397.42
40,440969.44
41,246086.55
42,119083.18
43,98257.5
44,144564.88
45,206306.56
46,159255.7
47,222553.84
48,97859.92
49,168473.7
50,129282.48
51,156198.03
52,251575.92
53,170360.02
54,185078.72
55,227389.81
56,120024.96
57,339946.94
58,115624.49
59,116451.08
60,133368.38
61,151243.19
62,254625.75
63,102278.55
64,230376.31
65,232500.2
66,131463.4
67,174121.64
68,205865.17
69,262512.72
70,130660.71
71,121674.25
72,259965.44
73,140892.9
74,133325.92
75,223175.14
76,121060.23
77,54521.766
78,141452.5
79,125314.6
80,169431.53
81,102457.59
82,185239.12
83,172397.42
84,209289.28
85,131137.02
86,82443.1
87,99836.82
88,151444.14
89,118688.37
90,168568.92
91,125555.086
92,228372.86
93,145626.31
94,120799.625
95,173186.67
96,737805.56
97,176067.86
98,162019.58
99,205424.55
100,225841.03
101,215740.88
102,198353.89
103,118206.414
104,187715.0
105,350000.44
106,226993.97
107,87177.92
108,147403.39
109,184838.23
110,333940.1
111,129282.48
112,196992.56
113,156198.03
114,129282.48
115,132841.62
116,117080.43
117,201803.11
118,372828.44
119,191612.11
120,201348.5
121,331164.78
122,170181.67
123,97468.32
124,131590.45
125,258935.88
126,259071.64
127,239179.22
128,206110.12
129,296638.5
130,135999.5
131,264929.88
132,156198.03
133,281952.22
134,282140.6
135,198128.94
136,201214.12
137,204622.94
138,153643.36
139,304517.03
140,161467.42
141,183209.73
142,152678.27
143,114205.836
144,203632.52
145,100686.28
146,147623.7
147,188373.73
148,80618.88
149,340491.06
150,218983.55
151,120799.625
152,131463.4
153,118688.37
154,181363.5
155,225299.14
156,268144.1
157,142903.36
158,402183.72
159,162255.2
160,180755.94
161,174820.77
162,170360.02
163,118206.414
164,247003.12
165,141452.5
166,150525.48
167,187893.06
168,225741.08
169,452741.9
170,135413.69
171,616910.3
172,277339.97
173,325647.75
174,138344.45
175,164582.7
176,135999.5
177,60620.04
178,247317.2
179,120024.96
180,63071.89
181,128881.44
182,114076.45
183,169481.62
184,182138.38
185,177517.47
186,180377.16
187,252082.27
188,266000.78
189,131463.4
190,191958.44
191,349065.66
192,117080.43
193,205570.06
194,151281.7
195,149949.03
196,353942.7
197,327468.0
198,132884.08
199,136233.2
200,195748.94
201,123554.46
202,231703.03
203,162183.12
204,104595.83
205,195521.34
206,184690.28
207,153718.0
208,231136.3
209,223252.0
210,249604.89
211,355353.6
212,153718.0
