id,target
1,321370.5582561494
2,128979.56258168494
3,176292.00189568842
4,254297.6635868242
5,131543.03899534582
6,151118.266907839
7,190510.66467855996
8,117269.1796911215
9,139234.32019167655
10,307025.12217529933
11,231703.26222710992
12,126990.57059367165
13,168005.546055915
14,134217.8329709238
15,108099.56369632245
16,132304.09635691493
17,123076.00514309984
18,183780.1135544008
19,201253.08263932198
20,130974.29676508009
21,149110.8305778745
22,127094.8933471744
23,173678.50240162396
24,247506.11210623226
25,183755.85359979622
26,344944.20469278714
27,152416.35817390494
28,246447.2984113791
29,142986.5268921812
30,71341.03808549608
31,124903.00403571819
32,132990.885503602
33,187054.40495683614
34,159681.34891777416
35,536635.152098852
36,126633.98920255882
37,162476.03159004313
38,209209.13137174686
39,190736.08071755295
40,464051.5999456991
41,265654.13497163
42,112495.44762194128
43,100845.35433093566
44,144452.32942280016
45,188006.4149738595
46,167271.9681606819
47,213958.73857556283
48,105005.33125911898
49,179988.2551015072
50,130120.6508868045
51,159718.8435666287
52,237299.45265358832
53,169006.03119378112
54,195519.69219169108
55,225685.73630013788
56,124771.62195270747
57,318599.8248927429
58,126858.22564740702
59,114956.53131048508
60,136971.4289559072
61,132319.91873111017
62,255954.80121016063
63,107830.80761626113
64,233361.24854878272
65,219074.73505460354
66,128961.5552925065
67,173266.60403159622
68,204280.95315535011
69,286723.07760906196
70,134917.9002787018
71,118284.12255875312
72,240319.25779230532
73,142625.06382329014
74,139740.8444649392
75,217217.53605926444
76,118908.86942633634
77,65210.15418708045
78,142987.30481778271
79,155048.65692618984
80,136267.7353072402
81,108225.54836505861
82,199610.98417531644
83,182448.2796214858
84,219635.57059267192
85,127567.62712598353
86,90389.15182988382
87,94144.64776082963
88,150630.33836877008
89,127150.81107745523
90,175926.84493709885
91,121757.88806771004
92,170035.1608788382
93,166574.96417364926
94,119111.57831372999
95,172648.64877392046
96,657259.2331940429
97,170978.9297898
98,153294.5567025033
99,209051.1827178629
100,225013.73448320763
101,220273.18626717088
102,188424.8718567434
103,129730.30695661285
104,189551.14394889295
105,325938.84975982626
106,227366.4697318137
107,93645.21487258245
108,136622.60140646907
109,180815.4343319259
110,342313.1958563262
111,128936.96225417087
112,198491.6737907431
113,154163.60539107746
114,127067.81219124247
115,140594.93684899155
116,125004.49279285528
117,200627.56051801273
118,337046.9824906295
119,178567.18043088214
120,195635.83990295522
121,370380.2755459554
122,171457.6755604906
123,95023.21976495543
124,130852.62607586331
125,286752.7851474674
126,253979.16094151555
127,263526.68184447044
128,217592.53041921958
129,300971.3510111263
130,137724.62918850553
131,245211.81927612593
132,158768.71002967158
133,338200.58924251527
134,294809.08989863325
135,195557.13518585046
136,198794.55613191248
137,221148.53473065436
138,147458.3195128425
139,303852.7813556973
140,154836.71524410648
141,180401.1698231998
142,151511.33251288676
143,115750.15456112233
144,187429.94479449838
145,123719.10558038787
146,193491.44091378595
147,192520.8532766932
148,55944.73636553626
149,385187.7744461443
150,198958.72301387205
151,125220.18899071035
152,130108.80183940005
153,125955.11093653647
154,186348.61220838892
155,244158.3759193299
156,200206.6086436115
157,144343.1448563576
158,384012.5729951594
159,184833.12642694195
160,176102.22398261633
161,192205.607528565
162,170837.5262194767
163,129432.10665132271
164,244185.58887042513
165,144154.41748874908
166,145882.37610986776
167,182578.27256965975
168,214426.77152313295
169,417519.0609715807
170,146242.2704150332
171,547261.9128430216
172,249448.59911820386
173,342377.3578020886
174,120200.61385569109
175,159658.07766221382
176,143490.0090476964
177,52806.12095376165
178,269315.3586325273
179,126518.41534763269
180,71628.96967797665
181,123542.69359406995
182,117872.66796725031
183,174851.78869733206
184,175102.26851907437
185,174911.89562967996
186,178802.205775455
187,238529.03350087913
188,268331.7812955812
189,131017.92774275626
190,194275.6786978806
191,335115.17646532797
192,127377.17813157955
193,191525.97354268393
194,143049.48786742165
195,152995.21260546352
196,402051.9161901881
197,307629.8668838779
198,135807.17759432943
199,131659.06621790805
200,192544.18869757402
201,106648.9904314804
202,233731.32284552374
203,169569.1063857546
204,98774.08611290305
205,185072.24266093422
206,178239.11002018326
207,161296.4945465561
208,235392.66008498758
209,217118.37172515737
210,260044.5123430547
211,326493.92029567494
212,157751.5044644953
213,167828.82854649663
214,349118.0804682219
215,144053.307186245
216,101904.90263764016
217,183592.5760709914
218,177310.71573625773
219,140248.17795272073
220,308101.144485921
221,234586.82407178995
222,175603.44756459835
223,362344.60125181265
224,183021.0017346905
225,172828.37849997164
226,143017.89642050408
227,125875.87487218092
228,170064.87928924873
229,231418.12078891404
230,120449.1740969337
231,227573.05212575046
232,140736.74716261114
233,174450.8023785479
234,408242.6797351592
235,254732.31869154767
236,99719.84009060916
237,245688.14044295123
238,131581.7628292373
239,139616.0308765439
240,203157.49690836918
241,97534.26197838815
242,248332.2206865727
243,95023.21976495543
244,144924.35328459003
245,126193.85115422076
246,262846.2857983715
247,140913.14966527215
248,124249.11369730401
249,203420.33201630122
250,138883.95673294936
251,282260.14469083364
252,184661.06115315008
253,130975.97708631068
254,139756.17576914467
255,615482.5457768807
256,149817.03587219183
257,127744.51772775204
258,129917.30925164015
259,344122.2441545102
260,178086.5218181861
261,146126.4165452299
262,231708.59577526114
263,162255.5032625148
264,252790.66467807125
265,148109.38119279803
266,127652.81723596607
267,233862.67109154322
268,144460.95496720937
269,127193.11825583651
270,295152.49535041547
271,355314.5926844895
272,144917.54470785754
273,192958.47962837305
274,89778.81770921306
275,152702.12680049558
276,176150.5302961205
277,145924.9071207225
278,101890.03598470357
279,175778.14789719332
280,186787.86651008826
281,509453.9632598326
282,296585.6521819075
283,145176.66257529362
284,161827.19962619967
285,140646.99971123188
286,150541.52028995313
287,218688.6452199928
288,140753.2704106385
289,137597.121208471
290,179902.89295824402
291,125234.68401007171
292,267569.6279014645
293,251913.578450577
294,169896.21778867402
295,182264.87114684173
296,59012.19530512317
297,135608.03038525092
298,156666.21700340614
299,111296.64278758698
300,126705.43449885858
301,69425.12585220617
302,136080.63792115945
303,190954.57337659225
304,265523.00474725594
305,149580.8908885407
306,178747.15075316763
307,170821.6272968691
308,127879.00260075412
309,158498.66432823514
310,272069.4015835125
311,125423.67661079223
312,188994.93658116367
313,136499.28548812697
314,136841.35100187638
315,158350.36591077026
316,137821.39513595862
317,129530.3558530719
318,127368.4745816575
319,163775.54066373734
320,190986.9500238295
321,146913.53267401888
322,182168.97596801363
323,211974.6268136556
324,156790.0284367713
325,166149.2630225807
326,189926.566555189
327,111628.45300054143
328,81547.99815759444
329,258507.88412755256
330,178683.2120739651
331,225564.34121334742
332,218456.31248625802
333,161729.34107966578
